n,tempo_de_execucao
10,5e-06 segundos
110,1.3e-05 segundos
210,2.7e-05 segundos
310,6.8e-05 segundos
410,6e-05 segundos
510,8.4e-05 segundos
610,9e-05 segundos
710,0.000121 segundos
810,0.000121 segundos
910,0.000113 segundos
1010,0.000161 segundos
1110,0.000137 segundos
1210,0.000148 segundos
1310,0.000209 segundos
1410,0.000171 segundos
1510,0.000182 segundos
1610,0.000188 segundos
1710,0.000199 segundos
1810,0.000215 segundos
1910,0.000224 segundos
2010,0.000234 segundos
2110,0.000296 segundos
2210,0.000283 segundos
2310,0.000278 segundos
2410,0.000293 segundos
2510,0.000304 segundos
2610,0.000315 segundos
2710,0.000338 segundos
2810,0.00038 segundos
2910,0.000366 segundos
3010,0.000379 segundos
3110,0.000401 segundos
3210,0.000418 segundos
3310,0.000416 segundos
3410,0.000441 segundos
3510,0.000469 segundos
3610,0.000505 segundos
3710,0.000482 segundos
3810,0.000504 segundos
3910,0.000546 segundos
4010,0.000524 segundos
4110,0.000564 segundos
4210,0.000556 segundos
4310,0.000613 segundos
4410,0.000589 segundos
4510,0.000615 segundos
4610,0.000749 segundos
4710,0.000625 segundos
4810,0.000642 segundos
4910,0.000735 segundos
5010,0.000905 segundos
5110,0.000776 segundos
5210,0.000833 segundos
5310,0.000748 segundos
5410,0.000759 segundos
5510,0.000811 segundos
5610,0.000769 segundos
5710,0.00085 segundos
5810,0.000699 segundos
5910,0.000709 segundos
6010,0.000715 segundos
6110,0.000725 segundos
6210,0.000748 segundos
6310,0.000739 segundos
6410,0.00077 segundos
6510,0.000783 segundos
6610,0.0008 segundos
6710,0.00083 segundos
6810,0.000821 segundos
6910,0.000827 segundos
7010,0.000821 segundos
7110,0.000851 segundos
7210,0.000863 segundos
7310,0.00086 segundos
7410,0.000892 segundos
7510,0.000897 segundos
7610,0.000928 segundos
7710,0.000919 segundos
7810,0.000942 segundos
7910,0.000953 segundos
8010,0.000949 segundos
8110,0.001041 segundos
8210,0.000987 segundos
8310,0.001022 segundos
8410,0.001 segundos
8510,0.001015 segundos
8610,0.001095 segundos
8710,0.001048 segundos
8810,0.001047 segundos
8910,0.001061 segundos
9010,0.001114 segundos
9110,0.001103 segundos
9210,0.001104 segundos
9310,0.001552 segundos
9410,0.001277 segundos
9510,0.001559 segundos
9610,0.00131 segundos
9710,0.001411 segundos
9810,0.001228 segundos
9910,0.001515 segundos
10010,0.001281 segundos
10110,0.001255 segundos
10210,0.001491 segundos
10310,0.001497 segundos
10410,0.001275 segundos
10510,0.001279 segundos
10610,0.001345 segundos
10710,0.001385 segundos
10810,0.001308 segundos
10910,0.001385 segundos
11010,0.00135 segundos
11110,0.001361 segundos
11210,0.001376 segundos
11310,0.001372 segundos
11410,0.001437 segundos
11510,0.001681 segundos
11610,0.001436 segundos
11710,0.001496 segundos
11810,0.00159 segundos
11910,0.001591 segundos
12010,0.001529 segundos
12110,0.001608 segundos
12210,0.002108 segundos
12310,0.001687 segundos
12410,0.001565 segundos
12510,0.001586 segundos
12610,0.00178 segundos
12710,0.002069 segundos
12810,0.001691 segundos
12910,0.002069 segundos
13010,0.001963 segundos
13110,0.002193 segundos
13210,0.002085 segundos
13310,0.001701 segundos
13410,0.001815 segundos
13510,0.001775 segundos
13610,0.001734 segundos
13710,0.001875 segundos
13810,0.001596 segundos
13910,0.001483 segundos
14010,0.00179 segundos
14110,0.001591 segundos
14210,0.002163 segundos
14310,0.001545 segundos
14410,0.00166 segundos
14510,0.001754 segundos
14610,0.001872 segundos
14710,0.001703 segundos
14810,0.00166 segundos
14910,0.002034 segundos
15010,0.001999 segundos
15110,0.001624 segundos
15210,0.001647 segundos
15310,0.001821 segundos
15410,0.00168 segundos
15510,0.001806 segundos
15610,0.001726 segundos
15710,0.001878 segundos
15810,0.00175 segundos
15910,0.002254 segundos
16010,0.001783 segundos
16110,0.002208 segundos
16210,0.001815 segundos
16310,0.001816 segundos
16410,0.001921 segundos
16510,0.002093 segundos
16610,0.001827 segundos
16710,0.00198 segundos
16810,0.00188 segundos
16910,0.002493 segundos
17010,0.001853 segundos
17110,0.002003 segundos
17210,0.002127 segundos
17310,0.001896 segundos
17410,0.002021 segundos
17510,0.001895 segundos
17610,0.00217 segundos
17710,0.002006 segundos
17810,0.001996 segundos
17910,0.002028 segundos
18010,0.001978 segundos
18110,0.002557 segundos
18210,0.002028 segundos
18310,0.002024 segundos
18410,0.002374 segundos
18510,0.00207 segundos
18610,0.002533 segundos
18710,0.002071 segundos
18810,0.002086 segundos
18910,0.002079 segundos
19010,0.002093 segundos
19110,0.002891 segundos
19210,0.002258 segundos
19310,0.002141 segundos
19410,0.002157 segundos
19510,0.002132 segundos
19610,0.002444 segundos
19710,0.002178 segundos
19810,0.002145 segundos
19910,0.002495 segundos
20010,0.002209 segundos
20110,0.002185 segundos
20210,0.002212 segundos
20310,0.002602 segundos
20410,0.002438 segundos
20510,0.002266 segundos
20610,0.002324 segundos
20710,0.002313 segundos
20810,0.002309 segundos
20910,0.002301 segundos
21010,0.00238 segundos
21110,0.002435 segundos
21210,0.002312 segundos
21310,0.002417 segundos
21410,0.002423 segundos
21510,0.002069 segundos
21610,0.002116 segundos
21710,0.002268 segundos
21810,0.002214 segundos
21910,0.00233 segundos
22010,0.002296 segundos
22110,0.002172 segundos
22210,0.002442 segundos
22310,0.00218 segundos
22410,0.003145 segundos
22510,0.002254 segundos
22610,0.002268 segundos
22710,0.00245 segundos
22810,0.002562 segundos
22910,0.002291 segundos
23010,0.00229 segundos
23110,0.002281 segundos
23210,0.00222 segundos
23310,0.002318 segundos
23410,0.002349 segundos
23510,0.00237 segundos
23610,0.002401 segundos
23710,0.0023 segundos
23810,0.002338 segundos
23910,0.002316 segundos
24010,0.002404 segundos
24110,0.002388 segundos
24210,0.002358 segundos
24310,0.00238 segundos
24410,0.002403 segundos
24510,0.002465 segundos
24610,0.002445 segundos
24710,0.00252 segundos
24810,0.002447 segundos
24910,0.002494 segundos
25010,0.002478 segundos
25110,0.002401 segundos
25210,0.002451 segundos
25310,0.002521 segundos
25410,0.002455 segundos
25510,0.002505 segundos
25610,0.002546 segundos
25710,0.002614 segundos
25810,0.002564 segundos
25910,0.00267 segundos
26010,0.002562 segundos
26110,0.0026 segundos
26210,0.00261 segundos
26310,0.002691 segundos
26410,0.002621 segundos
26510,0.00258 segundos
26610,0.00265 segundos
26710,0.002718 segundos
26810,0.00258 segundos
26910,0.002569 segundos
27010,0.002722 segundos
27110,0.002728 segundos
27210,0.002801 segundos
27310,0.002646 segundos
27410,0.002774 segundos
27510,0.0028 segundos
27610,0.002753 segundos
27710,0.002759 segundos
27810,0.002745 segundos
27910,0.00285 segundos
28010,0.002761 segundos
28110,0.002984 segundos
28210,0.002849 segundos
28310,0.002806 segundos
28410,0.002778 segundos
28510,0.002755 segundos
28610,0.002815 segundos
28710,0.002807 segundos
28810,0.002886 segundos
28910,0.002782 segundos
29010,0.002773 segundos
29110,0.002894 segundos
29210,0.002944 segundos
29310,0.002811 segundos
29410,0.002961 segundos
29510,0.002894 segundos
29610,0.002966 segundos
29710,0.00326 segundos
29810,0.002929 segundos
29910,0.002635 segundos
30010,0.00267 segundos
30110,0.00264 segundos
30210,0.002669 segundos
30310,0.002686 segundos
30410,0.002752 segundos
30510,0.002761 segundos
30610,0.002712 segundos
30710,0.002701 segundos
30810,0.002732 segundos
30910,0.002804 segundos
31010,0.002727 segundos
31110,0.002744 segundos
31210,0.002712 segundos
31310,0.002753 segundos
31410,0.002832 segundos
31510,0.00288 segundos
31610,0.002827 segundos
31710,0.002863 segundos
31810,0.002792 segundos
31910,0.002848 segundos
32010,0.002874 segundos
32110,0.002799 segundos
32210,0.002851 segundos
32310,0.002884 segundos
32410,0.002938 segundos
32510,0.002958 segundos
32610,0.002862 segundos
32710,0.002914 segundos
32810,0.002975 segundos
32910,0.002869 segundos
33010,0.002995 segundos
33110,0.003057 segundos
33210,0.003018 segundos
33310,0.003596 segundos
33410,0.003141 segundos
33510,0.003087 segundos
33610,0.003202 segundos
33710,0.002986 segundos
33810,0.002959 segundos
33910,0.002992 segundos
34010,0.002989 segundos
34110,0.00306 segundos
34210,0.00313 segundos
34310,0.003463 segundos
34410,0.003086 segundos
34510,0.003181 segundos
34610,0.003198 segundos
34710,0.003158 segundos
34810,0.003124 segundos
34910,0.00305 segundos
35010,0.003077 segundos
35110,0.003197 segundos
35210,0.003089 segundos
35310,0.003097 segundos
35410,0.003309 segundos
35510,0.003498 segundos
35610,0.00336 segundos
35710,0.003168 segundos
