n,tempo_de_execucao
10,0.182025 segundos
110,2.19122 segundos
210,3.20412 segundos
310,2.75155 segundos
410,2.59292 segundos
510,2.55943 segundos
610,2.52858 segundos
710,7.92516 segundos
810,5.481 segundos
910,4.0221 segundos
1010,3.50577 segundos
1110,11.5777 segundos
1210,5.5981 segundos
1310,5.69253 segundos
1410,5.19552 segundos
1510,4.31614 segundos
1610,3.86297 segundos
1710,8.34805 segundos
1810,8.7838 segundos
1910,6.24913 segundos
2010,14.1259 segundos
2110,7.5564 segundos
2210,7.72592 segundos
2310,5.83846 segundos
2410,7.48515 segundos
2510,7.65859 segundos
2610,5.94267 segundos
2710,20.2279 segundos
2810,17.3907 segundos
2910,19.8242 segundos
3010,20.3014 segundos
3110,9.04613 segundos
3210,7.64829 segundos
3310,7.83509 segundos
3410,8.24807 segundos
3510,9.0053 segundos
3610,9.55215 segundos
3710,9.6579 segundos
3810,9.57679 segundos
3910,8.81893 segundos
4010,9.23695 segundos
4110,8.66513 segundos
4210,8.30001 segundos
4310,9.8931 segundos
4410,10.0601 segundos
4510,9.28357 segundos
4610,8.84881 segundos
4710,9.47492 segundos
4810,9.14761 segundos
4910,9.35138 segundos
5010,10.7291 segundos
