num,tempo_funcao,tempo_usuario,tempo_sistema
1,7e-07,0.00354,0
2,3e-07,0.003771,0
3,2e-07,0.003784,0
4,2e-07,0.003796,0
5,2e-07,0.003807,0
6,3e-07,0.003823,0
7,2e-07,0.00384,0
8,2e-07,0.00385,0
9,2e-07,0.003863,0
10,2e-07,0.003876,0
11,2e-07,0.003889,0
12,3e-07,0.003903,0
13,2e-07,0.003919,0
14,1e-07,0.003929,0
15,3e-07,0.003946,0
16,3e-07,0.004,0
17,2e-07,0.004016,0
18,2e-07,0.004029,0
19,2e-07,0.004038,0
20,2e-07,0.00405,0
21,2e-07,0.00406,0
22,2e-07,0.00407,0
23,2e-07,0.004079,0
24,2e-07,0.004088,0
25,2e-07,0.004098,0
26,2e-07,0.004108,0
27,2e-07,0.004118,0
28,2e-07,0.004129,0
29,2e-07,0.004139,0
30,3e-07,0.004149,0
31,2e-07,0.004159,0
32,3e-07,0.004169,0
33,2e-07,0.004179,0
34,4e-07,0.00419,0
35,3e-07,0.004203,0
36,2e-07,0.004215,0
37,3e-07,0.004225,0
38,3e-07,0.004235,0
39,4e-07,0.004245,0
40,2e-07,0.004256,0
41,4e-07,0.00427,0
42,3e-07,0.004283,0
43,3e-07,0.004298,0
44,4e-07,0.004314,0
45,4e-07,0.004328,0
46,3e-07,0.004339,0
47,4e-07,0.004352,0
48,3e-07,0.004364,0
49,3e-07,0.004375,0
50,4e-07,0.004387,0
51,3e-07,0.0044,0
52,3e-07,0.004411,0
53,4e-07,0.004422,0
54,4e-07,0.004436,0
55,3e-07,0.004447,0
56,4e-07,0.004458,0
57,4e-07,0.004472,0
58,3e-07,0.004485,0
59,4e-07,0.0045,0
60,4e-07,0.004516,0
61,4e-07,0.004531,0
62,4e-07,0.004547,0
63,4e-07,0.004565,0
64,4e-07,0.004578,0
65,3e-07,0.004591,0
66,4e-07,0.004606,0
67,4e-07,0.004622,0
68,3e-07,0.004635,0
69,7e-07,0.004653,0
70,5e-07,0.004671,0
71,4e-07,0.004689,0
72,4e-07,0.004701,0
73,4e-07,0.004711,0
74,5e-07,0.004724,0
75,5e-07,0.004746,0
76,1e-06,0.004763,0
77,5e-07,0.004776,0
78,5e-07,0.004788,0
79,4e-07,0.004798,0
80,8e-07,0.004812,0
81,5e-07,0.004829,0
82,5e-07,0.00484,0
83,4e-07,0.00485,0
84,5e-07,0.004861,0
85,4e-07,0.004877,0
86,5e-07,0.004894,0
87,5e-07,0.004908,0
88,9e-07,0.00492,0
89,5e-07,0.004936,0
90,5e-07,0.004952,0
91,4e-07,0.004965,0
92,6e-07,0.004978,0
93,4e-07,0.004989,0
94,4e-07,0.005002,0
95,5e-07,0.005021,0
96,6e-07,0.005038,0
97,5e-07,0.005053,0
98,5e-07,0.005065,0
99,5e-07,0.005081,0
100,5e-07,0.005092,0
101,5e-07,0.005111,0
102,6e-07,0.005123,0
103,5e-07,0.005135,0
104,6e-07,0.005149,0
105,6e-07,0.005166,0
106,6e-07,0.005181,0
107,6e-07,0.00527,0
108,5e-07,0.005281,0
109,6e-07,0.005297,0
110,6e-07,0.005309,0
111,6e-07,0.005321,0
112,5e-07,0.005333,0
113,6e-07,0.005344,0
114,6e-07,0.005357,0
115,1e-06,0.005374,0
116,6e-07,0.005388,0
117,6e-07,0.005399,0
118,5e-07,0.005411,0
119,6e-07,0.005423,0
120,6e-07,0.005434,0
121,5e-07,0.005443,0
122,6e-07,0.005454,0
123,6e-07,0.005472,0
124,7e-07,0.005491,0
125,5e-07,0.005501,0
126,6e-07,0.005511,0
127,6e-07,0.005526,0
128,6e-07,0.005539,0
129,7e-07,0.00555,0
130,1.3e-06,0.005858,0
131,6e-07,0.005875,0
132,6e-07,0.005884,0
133,7e-07,0.005895,0
134,7e-07,0.005908,0
135,6e-07,0.00592,0
136,6e-07,0.005931,0
137,7e-07,0.005945,0
138,1.1e-06,0.005962,0
139,8e-07,0.01125,0
140,9e-07,0.011412,0
141,7e-07,0.011425,0
142,7e-07,0.011437,0
143,7e-07,0.011449,0
144,7e-07,0.011462,0
145,7e-07,0.011478,0
146,7e-07,0.01149,0
147,6e-07,0.011502,0
148,7e-07,0.011515,0
149,8e-07,0.011529,0
150,8e-07,0.011542,0
151,6e-07,0.011554,0
152,7e-07,0.011566,0
153,8e-07,0.011578,0
154,7e-07,0.011592,0
155,7e-07,0.011604,0
156,9e-07,0.011676,0
157,7e-07,0.01169,0
158,8e-07,0.011703,0
159,8e-07,0.011715,0
160,8e-07,0.011729,0
161,8e-07,0.011744,0
162,7e-07,0.011756,0
163,7e-07,0.011769,0
164,8e-07,0.011783,0
165,8e-07,0.011799,0
166,8e-07,0.011811,0
167,7e-07,0.011823,0
168,7e-07,0.011836,0
169,7e-07,0.011848,0
170,8e-07,0.011863,0
171,8e-07,0.011875,0
172,8e-07,0.011887,0
173,7e-07,0.011899,0
174,7e-07,0.011911,0
175,8e-07,0.011924,0
176,8e-07,0.011938,0
177,8e-07,0.01195,0
178,8e-07,0.011963,0
179,8e-07,0.011975,0
180,8e-07,0.011987,0
181,1e-06,0.012002,0
182,9e-07,0.012014,0
183,8e-07,0.012029,0
184,8e-07,0.012041,0
185,7e-07,0.012053,0
186,9e-07,0.012066,0
187,8e-07,0.012078,0
188,1e-06,0.012093,0
189,8e-07,0.012105,0
190,8e-07,0.012117,0
191,9e-07,0.012129,0
192,9e-07,0.012141,0
193,9e-07,0.012156,0
194,9e-07,0.012169,0
195,9e-07,0.012181,0
196,8e-07,0.012194,0
197,8e-07,0.012206,0
198,9e-07,0.012218,0
199,9e-07,0.012233,0
200,9e-07,0.012246,0
201,9e-07,0.012258,0
202,9e-07,0.01227,0
203,9e-07,0.012283,0
204,1e-06,0.012299,0
205,8e-07,0.012311,0
206,9e-07,0.012323,0
207,9e-07,0.012338,0
208,9e-07,0.012352,0
209,9e-07,0.012365,0
210,9e-07,0.012377,0
211,9e-07,0.012392,0
212,1e-06,0.012405,0
213,9e-07,0.012417,0
214,9e-07,0.01243,0
215,9e-07,0.012442,0
216,1e-06,0.012456,0
217,9e-07,0.012471,0
218,9e-07,0.012484,0
219,1.1e-06,0.012534,0
220,1e-06,0.012548,0
221,1e-06,0.012561,0
222,9e-07,0.012574,0
223,9e-07,0.012586,0
224,9e-07,0.012599,0
225,1e-06,0.012615,0
226,1e-06,0.012627,0
