num,tempo_funcao,tempo_usuario,tempo_sistema
1,2e-07,0.004123,0
2,3.53e-05,0.004185,0
3,7e-05,0.004317,0
4,0.0001049,0.004518,0
5,0.00014,0.00483,0
6,0.0002868,0.005409,0
7,0.0002155,0.006175,0
8,0.0002519,0.007223,0
9,0.00028,0.00881,0
10,0.0003196,0.011311,0
11,0.0003512,0.015152,0
12,0.0004349,0.021248,0
13,0.0004258,0.030222,0
14,0.0004956,0.045349,0
15,0.0004876,0.068903,0
16,0.0009357,0.105988,0
17,0.0005601,0.164868,0
18,0.0003406,0.234078,0
19,0.0004123,0.317781,0
20,0.0003495,0.446181,0
