num,tempo_funcao,tempo_usuario,tempo_sistema
1,3e-07,0.003758,0
2,2e-07,0.003778,0
3,2e-07,0.00379,0
4,2e-07,0.0038,0
5,2e-07,0.003815,0
6,2e-07,0.003834,0
7,2e-07,0.003845,0
8,2e-07,0.003855,0
9,3e-07,0.003871,0
10,2e-07,0.003882,0
11,2e-07,0.003896,0
12,3e-07,0.003911,0
13,2e-07,0.003925,0
14,2e-07,0.003936,0
15,4e-07,0.003989,0
16,2e-07,0.004008,0
17,2e-07,0.004023,0
18,3e-07,0.004033,0
19,2e-07,0.004044,0
20,3e-07,0.004055,0
21,3e-07,0.004065,0
22,2e-07,0.004074,0
23,3e-07,0.004083,0
24,3e-07,0.004093,0
25,3e-07,0.004103,0
26,3e-07,0.004113,0
27,3e-07,0.004123,0
28,3e-07,0.004134,0
29,3e-07,0.004144,0
30,3e-07,0.004154,0
31,3e-07,0.004163,0
32,4e-07,0.004174,0
33,3e-07,0.004184,0
34,3e-07,0.004195,0
35,3e-07,0.00421,0
36,3e-07,0.00422,0
37,4e-07,0.00423,0
38,4e-07,0.00424,0
39,3e-07,0.004251,0
40,3e-07,0.004263,0
41,7e-07,0.004276,0
42,3e-07,0.004291,0
43,3e-07,0.004306,0
44,3e-07,0.00432,0
45,3e-07,0.004333,0
46,4e-07,0.004346,0
47,3e-07,0.004357,0
48,5e-07,0.004369,0
49,3e-07,0.004382,0
50,4e-07,0.004393,0
51,4e-07,0.004405,0
52,4e-07,0.004417,0
53,5e-07,0.004429,0
54,4e-07,0.00444,0
55,4e-07,0.004451,0
56,4e-07,0.004466,0
57,5e-07,0.00448,0
58,5e-07,0.004493,0
59,4e-07,0.004508,0
60,8e-07,0.004524,0
61,4e-07,0.004539,0
62,6e-07,0.004557,0
63,4e-07,0.004573,0
64,4e-07,0.004583,0
65,4e-07,0.004598,0
66,7e-07,0.004614,0
67,4e-07,0.004629,0
68,4e-07,0.004642,0
69,5e-07,0.00466,0
70,5e-07,0.004681,0
71,5e-07,0.004695,0
72,5e-07,0.004706,0
73,4e-07,0.004716,0
74,6e-07,0.004732,0
75,5e-07,0.004753,0
76,5e-07,0.004771,0
77,4e-07,0.004783,0
78,5e-07,0.004793,0
79,5e-07,0.004805,0
80,5e-07,0.004818,0
81,5e-07,0.004835,0
82,5e-07,0.004845,0
83,5e-07,0.004855,0
84,6e-07,0.004869,0
85,6e-07,0.004888,0
86,5e-07,0.004899,0
87,6e-07,0.004914,0
88,5e-07,0.004928,0
89,6e-07,0.004944,0
90,8e-07,0.00496,0
91,7e-07,0.004971,0
92,6e-07,0.004984,0
93,6e-07,0.004995,0
94,7e-07,0.00501,0
95,6e-07,0.00503,0
96,6e-07,0.005046,0
97,7e-07,0.00506,0
98,7e-07,0.005073,0
99,6e-07,0.005087,0
100,6e-07,0.005105,0
101,5e-07,0.005117,0
102,6e-07,0.005129,0
103,7e-07,0.005141,0
104,1e-06,0.005158,0
105,7e-07,0.005174,0
106,8e-07,0.005262,0
107,6e-07,0.005276,0
108,6e-07,0.00529,0
109,6e-07,0.005303,0
110,7e-07,0.005315,0
111,7e-07,0.005327,0
112,6e-07,0.005339,0
113,6e-07,0.00535,0
114,7e-07,0.005365,0
115,8e-07,0.005379,0
116,7e-07,0.005394,0
117,7e-07,0.005405,0
118,7e-07,0.005417,0
119,7e-07,0.005429,0
120,7e-07,0.005438,0
121,6e-07,0.005448,0
122,7e-07,0.005465,0
123,7e-07,0.005483,0
124,7e-07,0.005496,0
125,6e-07,0.005506,0
126,7e-07,0.005518,0
127,7e-07,0.005534,0
128,6e-07,0.005544,0
129,8e-07,0.00556,0
130,9e-07,0.00587,0
131,6e-07,0.00588,0
132,7e-07,0.005889,0
133,8e-07,0.005902,0
134,7e-07,0.005914,0
135,7e-07,0.005926,0
136,9e-07,0.005937,0
137,7e-07,0.005954,0
138,9e-07,0.005968,0
139,9e-07,0.011401,0
140,7e-07,0.011419,0
141,8e-07,0.011431,0
142,8e-07,0.011443,0
143,8e-07,0.011456,0
144,9e-07,0.01147,0
145,8e-07,0.011484,0
146,8e-07,0.011496,0
147,8e-07,0.011509,0
148,7e-07,0.01152,0
149,9e-07,0.011536,0
150,8e-07,0.011548,0
151,8e-07,0.01156,0
152,8e-07,0.011572,0
