n,tempo_de_execucao
10,2e-06 segundos
110,1.4e-05 segundos
210,6e-06 segundos
310,8e-06 segundos
410,9e-06 segundos
510,1.1e-05 segundos
610,1.2e-05 segundos
710,2.3e-05 segundos
810,2.4e-05 segundos
910,2.4e-05 segundos
1010,2.2e-05 segundos
1110,2.4e-05 segundos
1210,2.5e-05 segundos
1310,2.7e-05 segundos
1410,2.9e-05 segundos
1510,5.2e-05 segundos
1610,3.5e-05 segundos
1710,5e-05 segundos
1810,4.3e-05 segundos
1910,3.8e-05 segundos
2010,4.2e-05 segundos
2110,4.6e-05 segundos
2210,4.7e-05 segundos
2310,4.7e-05 segundos
2410,5.6e-05 segundos
2510,6.1e-05 segundos
2610,9.2e-05 segundos
2710,7e-05 segundos
2810,6.1e-05 segundos
2910,7.2e-05 segundos
3010,6.6e-05 segundos
3110,6.6e-05 segundos
3210,8.5e-05 segundos
3310,0.000116 segundos
3410,0.000141 segundos
3510,8.6e-05 segundos
3610,8.2e-05 segundos
3710,8.4e-05 segundos
3810,8.8e-05 segundos
3910,8.5e-05 segundos
4010,0.000109 segundos
4110,9.6e-05 segundos
4210,0.000173 segundos
4310,0.000108 segundos
4410,0.000122 segundos
4510,0.000105 segundos
4610,0.000107 segundos
4710,0.000257 segundos
4810,0.00016 segundos
4910,0.000171 segundos
5010,0.000126 segundos
5110,0.000127 segundos
5210,0.000118 segundos
5310,0.000114 segundos
5410,0.000117 segundos
5510,0.000256 segundos
5610,0.000167 segundos
5710,0.000135 segundos
5810,0.000171 segundos
5910,0.000139 segundos
6010,0.000136 segundos
6110,0.000215 segundos
6210,0.000185 segundos
6310,0.000348 segundos
6410,0.000169 segundos
6510,0.000209 segundos
6610,0.000156 segundos
6710,0.000157 segundos
6810,0.000366 segundos
6910,0.000268 segundos
7010,0.000223 segundos
7110,0.000158 segundos
7210,0.000179 segundos
7310,0.000175 segundos
7410,0.000186 segundos
7510,0.000208 segundos
7610,0.000248 segundos
7710,0.000226 segundos
7810,0.000312 segundos
7910,0.000206 segundos
8010,0.000217 segundos
8110,0.000207 segundos
8210,0.000227 segundos
8310,0.000332 segundos
8410,0.000238 segundos
8510,0.000241 segundos
8610,0.000204 segundos
8710,0.000207 segundos
8810,0.000201 segundos
8910,0.00021 segundos
9010,0.000211 segundos
9110,0.000252 segundos
9210,0.000317 segundos
9310,0.000269 segundos
9410,0.000228 segundos
9510,0.000237 segundos
9610,0.000231 segundos
9710,0.000232 segundos
9810,0.000238 segundos
9910,0.000264 segundos
10010,0.000331 segundos
10110,0.000259 segundos
10210,0.000253 segundos
10310,0.000315 segundos
10410,0.000241 segundos
10510,0.000238 segundos
10610,0.000527 segundos
