n,tempo_de_execucao
10,8e-06 segundos
110,1e-05 segundos
210,1.3e-05 segundos
310,1.1e-05 segundos
410,1.4e-05 segundos
510,1.7e-05 segundos
610,1.8e-05 segundos
710,2e-05 segundos
810,2.2e-05 segundos
910,2.4e-05 segundos
1010,2.6e-05 segundos
1110,2.8e-05 segundos
1210,3e-05 segundos
1310,3.2e-05 segundos
1410,3.4e-05 segundos
1510,3.6e-05 segundos
1610,3.8e-05 segundos
1710,4e-05 segundos
1810,4.2e-05 segundos
1910,4.5e-05 segundos
2010,4.6e-05 segundos
2110,4.8e-05 segundos
2210,5e-05 segundos
2310,5.2e-05 segundos
2410,5.4e-05 segundos
2510,5.7e-05 segundos
2610,5.8e-05 segundos
2710,6.1e-05 segundos
2810,6.3e-05 segundos
2910,7.6e-05 segundos
3010,6.6e-05 segundos
3110,6.9e-05 segundos
3210,8.4e-05 segundos
3310,7.6e-05 segundos
3410,8.5e-05 segundos
3510,7.7e-05 segundos
3610,8.3e-05 segundos
3710,0.000122 segundos
3810,8.6e-05 segundos
3910,9.8e-05 segundos
4010,0.000102 segundos
4110,0.000127 segundos
4210,0.000128 segundos
4310,9.3e-05 segundos
4410,0.000108 segundos
4510,0.000112 segundos
4610,0.000116 segundos
4710,0.000196 segundos
4810,0.000193 segundos
4910,0.000192 segundos
5010,0.0001 segundos
5110,0.000126 segundos
5210,0.000106 segundos
5310,9.1e-05 segundos
5410,0.000109 segundos
5510,9.3e-05 segundos
5610,0.000111 segundos
5710,0.000115 segundos
5810,0.000115 segundos
5910,0.000142 segundos
6010,0.000203 segundos
6110,0.000104 segundos
6210,0.000107 segundos
6310,0.000144 segundos
6410,0.000141 segundos
6510,0.000135 segundos
6610,0.000113 segundos
6710,0.000113 segundos
6810,0.000123 segundos
6910,0.000139 segundos
7010,0.000137 segundos
7110,0.00012 segundos
7210,0.000121 segundos
7310,0.000146 segundos
7410,0.000125 segundos
7510,0.000128 segundos
7610,0.000151 segundos
7710,0.000155 segundos
7810,0.000131 segundos
