n,tempo_de_execucao
10,2e-06 segundos
110,3e-06 segundos
210,5e-06 segundos
310,3e-06 segundos
410,4e-06 segundos
510,5e-06 segundos
610,5e-06 segundos
710,6e-06 segundos
810,6e-06 segundos
910,6e-06 segundos
1010,7e-06 segundos
1110,7e-06 segundos
1210,8e-06 segundos
1310,9e-06 segundos
1410,9e-06 segundos
1510,9e-06 segundos
1610,1.1e-05 segundos
1710,1e-05 segundos
1810,1.1e-05 segundos
1910,1.1e-05 segundos
2010,1.2e-05 segundos
2110,1.3e-05 segundos
2210,1.4e-05 segundos
2310,1.5e-05 segundos
2410,1.4e-05 segundos
2510,1.5e-05 segundos
2610,1.4e-05 segundos
2710,1.6e-05 segundos
2810,1.7e-05 segundos
2910,1.6e-05 segundos
3010,1.7e-05 segundos
3110,1.8e-05 segundos
3210,1.9e-05 segundos
3310,1.8e-05 segundos
3410,1.9e-05 segundos
3510,2.1e-05 segundos
3610,2.1e-05 segundos
3710,2.1e-05 segundos
3810,2.1e-05 segundos
3910,3.6e-05 segundos
4010,2.3e-05 segundos
4110,2.3e-05 segundos
4210,2.3e-05 segundos
4310,2.6e-05 segundos
4410,2.4e-05 segundos
4510,2.4e-05 segundos
4610,2.7e-05 segundos
4710,2.6e-05 segundos
4810,2.6e-05 segundos
4910,2.8e-05 segundos
5010,2.6e-05 segundos
5110,3e-05 segundos
5210,2.8e-05 segundos
5310,3e-05 segundos
5410,2.9e-05 segundos
5510,2.9e-05 segundos
5610,3.2e-05 segundos
5710,3.1e-05 segundos
5810,3.1e-05 segundos
5910,3.1e-05 segundos
6010,3.2e-05 segundos
6110,3.6e-05 segundos
6210,3.2e-05 segundos
6310,3.5e-05 segundos
6410,3.8e-05 segundos
6510,6e-05 segundos
6610,3.6e-05 segundos
6710,3.8e-05 segundos
6810,3.6e-05 segundos
6910,3.7e-05 segundos
7010,3.8e-05 segundos
7110,5e-05 segundos
7210,3.8e-05 segundos
7310,3.9e-05 segundos
7410,3.9e-05 segundos
7510,3.9e-05 segundos
7610,4e-05 segundos
7710,4e-05 segundos
7810,4.1e-05 segundos
7910,4.2e-05 segundos
8010,4.5e-05 segundos
8110,4.2e-05 segundos
8210,4.3e-05 segundos
8310,4.3e-05 segundos
8410,4.4e-05 segundos
8510,4.6e-05 segundos
8610,4.5e-05 segundos
8710,4.6e-05 segundos
8810,4.6e-05 segundos
8910,4.7e-05 segundos
9010,4.7e-05 segundos
9110,4.7e-05 segundos
9210,4.8e-05 segundos
9310,4.8e-05 segundos
9410,5.5e-05 segundos
9510,4.9e-05 segundos
9610,5e-05 segundos
9710,5.1e-05 segundos
9810,7.7e-05 segundos
9910,5.3e-05 segundos
10010,5.5e-05 segundos
10110,5.2e-05 segundos
10210,5.3e-05 segundos
10310,5.7e-05 segundos
10410,5.5e-05 segundos
10510,5.5e-05 segundos
10610,5.4e-05 segundos
10710,5.5e-05 segundos
10810,5.6e-05 segundos
10910,6.1e-05 segundos
11010,5.7e-05 segundos
11110,5.7e-05 segundos
11210,6.2e-05 segundos
11310,7.1e-05 segundos
11410,6e-05 segundos
11510,6.6e-05 segundos
11610,6e-05 segundos
11710,6.3e-05 segundos
11810,6.5e-05 segundos
11910,6.2e-05 segundos
12010,6.2e-05 segundos
12110,6.2e-05 segundos
12210,6.3e-05 segundos
12310,6.3e-05 segundos
12410,7.2e-05 segundos
12510,6.5e-05 segundos
12610,6.6e-05 segundos
12710,6.7e-05 segundos
12810,7e-05 segundos
12910,6.7e-05 segundos
13010,6.8e-05 segundos
13110,7.1e-05 segundos
13210,6.9e-05 segundos
13310,7.2e-05 segundos
13410,7.4e-05 segundos
13510,6.9e-05 segundos
13610,7.4e-05 segundos
13710,7e-05 segundos
13810,7.1e-05 segundos
13910,8.1e-05 segundos
14010,7.7e-05 segundos
14110,8.1e-05 segundos
14210,7.8e-05 segundos
14310,8.1e-05 segundos
14410,7.4e-05 segundos
14510,7.5e-05 segundos
14610,8.1e-05 segundos
14710,7.6e-05 segundos
14810,7.6e-05 segundos
14910,7.6e-05 segundos
15010,8.2e-05 segundos
15110,7.7e-05 segundos
15210,7.8e-05 segundos
15310,8.4e-05 segundos
15410,8.4e-05 segundos
15510,7.9e-05 segundos
15610,8e-05 segundos
15710,8.1e-05 segundos
15810,8.1e-05 segundos
15910,8.1e-05 segundos
16010,9.6e-05 segundos
16110,0.000116 segundos
16210,8.3e-05 segundos
16310,0.000109 segundos
16410,8.6e-05 segundos
16510,8.5e-05 segundos
16610,8.6e-05 segundos
16710,9.1e-05 segundos
16810,8.6e-05 segundos
16910,8.6e-05 segundos
17010,9e-05 segundos
17110,8.8e-05 segundos
17210,8.8e-05 segundos
17310,8.8e-05 segundos
17410,0.000101 segundos
17510,9.4e-05 segundos
17610,9e-05 segundos
17710,9.3e-05 segundos
17810,9.2e-05 segundos
17910,9.2e-05 segundos
18010,9.7e-05 segundos
18110,9.9e-05 segundos
18210,0.00011 segundos
18310,9.8e-05 segundos
18410,9.4e-05 segundos
18510,9.7e-05 segundos
18610,9.5e-05 segundos
18710,0.000107 segundos
18810,9.8e-05 segundos
18910,0.000104 segundos
19010,9.8e-05 segundos
19110,9.8e-05 segundos
19210,9.8e-05 segundos
19310,0.000104 segundos
19410,9.9e-05 segundos
19510,9.5e-05 segundos
19610,9.7e-05 segundos
19710,9.4e-05 segundos
19810,9.5e-05 segundos
19910,9.5e-05 segundos
20010,0.000129 segundos
20110,9.5e-05 segundos
20210,0.000103 segundos
20310,9.7e-05 segundos
20410,0.000136 segundos
20510,9.7e-05 segundos
20610,9.8e-05 segundos
20710,0.000124 segundos
20810,0.000106 segundos
20910,0.0001 segundos
21010,0.000103 segundos
21110,0.000101 segundos
21210,0.000101 segundos
21310,0.000102 segundos
21410,0.000112 segundos
21510,0.000103 segundos
21610,0.00011 segundos
21710,0.000113 segundos
21810,0.000103 segundos
21910,0.000104 segundos
22010,0.000105 segundos
22110,0.000115 segundos
22210,0.000117 segundos
22310,0.000108 segundos
22410,0.000114 segundos
22510,0.000115 segundos
22610,0.000108 segundos
22710,0.000108 segundos
22810,0.000109 segundos
22910,0.000118 segundos
23010,0.000111 segundos
23110,0.000117 segundos
23210,0.00011 segundos
23310,0.000139 segundos
23410,0.000127 segundos
23510,0.000123 segundos
23610,0.000128 segundos
23710,0.000113 segundos
23810,0.000121 segundos
23910,0.000118 segundos
24010,0.000114 segundos
24110,0.000116 segundos
24210,0.000131 segundos
24310,0.000123 segundos
24410,0.000116 segundos
24510,0.000123 segundos
24610,0.000133 segundos
24710,0.000117 segundos
24810,0.000118 segundos
24910,0.000118 segundos
25010,0.000127 segundos
25110,0.000135 segundos
25210,0.000135 segundos
25310,0.000131 segundos
25410,0.000158 segundos
25510,0.000138 segundos
25610,0.000121 segundos
25710,0.000139 segundos
25810,0.000136 segundos
25910,0.000123 segundos
26010,0.000137 segundos
26110,0.000131 segundos
26210,0.000136 segundos
26310,0.000133 segundos
26410,0.000145 segundos
26510,0.000134 segundos
26610,0.000149 segundos
26710,0.000137 segundos
26810,0.000132 segundos
26910,0.000127 segundos
27010,0.000182 segundos
27110,0.000142 segundos
27210,0.000159 segundos
27310,0.000143 segundos
27410,0.000228 segundos
27510,0.000146 segundos
27610,0.00014 segundos
27710,0.000136 segundos
27810,0.000196 segundos
27910,0.000137 segundos
28010,0.000147 segundos
28110,0.00017 segundos
28210,0.00014 segundos
28310,0.000138 segundos
28410,0.000147 segundos
28510,0.000135 segundos
28610,0.00017 segundos
28710,0.000148 segundos
28810,0.000163 segundos
28910,0.000166 segundos
29010,0.000145 segundos
29110,0.000142 segundos
29210,0.000138 segundos
29310,0.000156 segundos
29410,0.000154 segundos
29510,0.000165 segundos
29610,0.000152 segundos
29710,0.00016 segundos
29810,0.000141 segundos
29910,0.000155 segundos
30010,0.000187 segundos
30110,0.000256 segundos
30210,0.000155 segundos
30310,0.000151 segundos
30410,0.000165 segundos
30510,0.000262 segundos
30610,0.000185 segundos
30710,0.000145 segundos
30810,0.000155 segundos
30910,0.000268 segundos
31010,0.000166 segundos
31110,0.000165 segundos
31210,0.000183 segundos
31310,0.000149 segundos
31410,0.000167 segundos
31510,0.000176 segundos
31610,0.000257 segundos
31710,0.000175 segundos
31810,0.000159 segundos
31910,0.000165 segundos
32010,0.000274 segundos
32110,0.000152 segundos
32210,0.000152 segundos
32310,0.000156 segundos
32410,0.000196 segundos
32510,0.000175 segundos
32610,0.000172 segundos
32710,0.000242 segundos
32810,0.000156 segundos
32910,0.000211 segundos
33010,0.000156 segundos
33110,0.000244 segundos
33210,0.000157 segundos
33310,0.000158 segundos
33410,0.000183 segundos
33510,0.000174 segundos
33610,0.000161 segundos
33710,0.000191 segundos
33810,0.00018 segundos
33910,0.000214 segundos
34010,0.000171 segundos
34110,0.000175 segundos
34210,0.000231 segundos
34310,0.000192 segundos
34410,0.000168 segundos
34510,0.000169 segundos
34610,0.000184 segundos
34710,0.000184 segundos
34810,0.000222 segundos
34910,0.000215 segundos
35010,0.000183 segundos
35110,0.000187 segundos
35210,0.000179 segundos
35310,0.00026 segundos
35410,0.000187 segundos
35510,0.000198 segundos
35610,0.000202 segundos
35710,0.000315 segundos
35810,0.000182 segundos
35910,0.000171 segundos
36010,0.00018 segundos
36110,0.000185 segundos
36210,0.000187 segundos
36310,0.000174 segundos
36410,0.000316 segundos
36510,0.0003 segundos
36610,0.000175 segundos
36710,0.000208 segundos
36810,0.000293 segundos
36910,0.000174 segundos
37010,0.000207 segundos
37110,0.000193 segundos
37210,0.000209 segundos
37310,0.000189 segundos
37410,0.000186 segundos
37510,0.000203 segundos
37610,0.000206 segundos
37710,0.000286 segundos
37810,0.000187 segundos
37910,0.000211 segundos
38010,0.000206 segundos
38110,0.000175 segundos
38210,0.00017 segundos
38310,0.000183 segundos
38410,0.00021 segundos
38510,0.000182 segundos
38610,0.000171 segundos
38710,0.000256 segundos
38810,0.000179 segundos
38910,0.00018 segundos
39010,0.000189 segundos
39110,0.00021 segundos
39210,0.00018 segundos
39310,0.00018 segundos
39410,0.000174 segundos
39510,0.000201 segundos
39610,0.000187 segundos
39710,0.000201 segundos
39810,0.000179 segundos
39910,0.000185 segundos
40010,0.000201 segundos
40110,0.000203 segundos
40210,0.000191 segundos
40310,0.000192 segundos
40410,0.000219 segundos
40510,0.000208 segundos
40610,0.000198 segundos
40710,0.000313 segundos
40810,0.000202 segundos
40910,0.00021 segundos
41010,0.000182 segundos
41110,0.000323 segundos
41210,0.000183 segundos
41310,0.000206 segundos
41410,0.000214 segundos
41510,0.000207 segundos
41610,0.000213 segundos
41710,0.000197 segundos
